Env_Temp,BMP_Pressure,BMP_Altitude,Light,DHT_Humidity,MQ135_CO2,MQ135_CO,MQ135_NH3,Soil_Moisture,Soil_Temp,pH,N,P,K,district,location,season,target_crops
32.22,,647.09,104812.46,42.86,425.81,2.84,1.10,,27.60,7.18,190.16,21.13,198.37,Nashik,Igatpuri (Ghat Zone),Summer,"Vegetables, Finger Millet"
34.06,936.46,486.24,92145.12,40.95,374.85,,1.39,66.42,31.09,6.57,252.24,48.70,248.93,Nashik,Baglan/Kalwan,Summer,Soybean
25.55,932.17,901.54,97024.03,31.65,398.46,0.42,3.23,42.80,27.82,,149.46,18.38,218.89,Nashik,Igatpuri (Ghat Zone),Summer,Maize
31.05,908.10,54.21,96409.36,23.63,473.39,1.31,4.02,,28.74,,274.19,4.65,275.01,Raigad,Karjat,Summer,"Green Gram, Rice"
36.89,1059.25,633.59,14781.68,79.11,405.62,2.83,0.77,70.76,37.81,7.32,211.31,20.93,252.14,Nashik,Niphad/Yeola,Monsoon,"Pomegranate, Grapes"
,,11.13,,49.78,403.13,3.15,0.31,43.73,18.11,5.55,256.52,4.91,265.74,Raigad,Alibag/Mangaon,,"Sugarcane, Banana"
,1042.37,11.41,88444.98,61.48,408.24,5.25,3.41,51.92,13.90,6.02,,10.72,,Raigad,Alibag/Mangaon,Winter,Mango
13.57,840.11,,91389.34,54.48,382.59,3.73,3.70,39.62,11.60,6.52,169.86,40.39,268.75,Nashik,Baglan/Kalwan,Winter,"Maize, Grapes"
21.65,907.31,536.82,122717.33,33.77,393.41,0.97,0.96,67.43,20.05,7.69,201.32,31.17,274.35,Nashik,Niphad/Yeola,Summer,Onion
24.37,995.99,6925.04,66178.59,56.10,459.39,1.72,2.84,55.60,19.02,6.25,213.13,17.84,173.96,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Vegetables"
20.13,1032.83,486.98,85936.46,56.89,466.69,4.80,1.38,52.62,15.67,6.13,232.20,46.57,227.80,Nashik,Baglan/Kalwan,Winter,Grapes
33.56,1029.08,582.29,99927.45,37.81,426.35,5.14,1.85,44.38,33.77,7.67,272.68,20.43,281.43,Nashik,Niphad/Yeola,Summer,"Onion, Tomato"
17.23,951.59,456.29,85610.78,44.16,398.96,3.05,1.26,51.37,15.91,6.94,214.96,47.87,,Nashik,Baglan/Kalwan,Winter,Groundnut
21.21,1096.72,,72782.83,,429.79,4.05,2.78,47.90,21.37,7.13,284.09,9.44,220.33,Raigad,Karjat,Winter,"Ragi, Coconut, Green Gram"
18.65,840.40,436.37,69683.81,56.96,429.70,1.99,1.59,49.56,17.02,6.72,231.87,52.29,,Nashik,Baglan/Kalwan,,"Onion, Soybean, Grapes"
33.43,911.29,578.34,28489.19,102.46,449.65,,0.61,88.63,33.86,7.16,255.71,9.41,174.70,Nashik,Igatpuri (Ghat Zone),Monsoon,Maize
13.52,,567.27,,43.30,395.97,0.32,0.68,64.38,10.38,,257.56,17.24,205.60,Nashik,,Winter,Rice
33.56,1010.47,720.05,103539.82,21.63,433.14,4.89,0.30,56.32,30.96,6.89,248.25,17.56,155.05,Nashik,Igatpuri (Ghat Zone),Summer,"Maize, Rice"
34.69,992.36,590.32,32364.97,77.91,401.09,,1.58,78.67,,7.16,178.90,34.88,197.75,Nashik,Niphad/Yeola,Monsoon,"Onion, Sugarcane"
35.58,1045.01,52.90,100623.83,25.50,,2.60,1.24,11.35,30.83,5.68,297.46,10.57,237.58,,Karjat,,Cashew
,909.35,5.79,35330.99,102.33,431.20,3.12,2.19,94.13,22.70,5.59,257.26,5.81,215.69,Raigad,Alibag/Mangaon,Monsoon,Rice
13.04,953.73,629.28,84546.91,,382.82,3.54,1.73,53.60,12.65,7.09,250.66,26.33,276.58,Nashik,Niphad/Yeola,Winter,"Tomato, Wheat"
25.34,1014.99,5.32,116598.69,39.83,417.94,2.88,1.23,25.85,22.26,5.47,362.80,6.19,251.40,Raigad,Alibag/Mangaon,Summer,"Coconut, Arecanut, Rice"
29.62,965.48,760.91,46732.94,90.28,382.56,0.81,1.58,91.95,33.07,5.83,242.50,14.84,186.20,Nashik,Igatpuri (Ghat Zone),Monsoon,Vegetables
21.19,965.84,50.93,72404.07,42.70,368.56,0.74,3.55,57.14,18.49,5.33,278.88,5.60,243.69,,Karjat,Winter,"Groundnut, Green Gram, Vari"
36.97,1091.35,,107603.31,36.71,425.66,1.51,2.80,17.63,35.92,5.63,248.22,9.51,203.55,Raigad,Karjat,Summer,"Cashew, Coconut, Rice"
17.87,992.93,536.87,85073.17,40.41,463.34,0.59,2.81,50.86,13.31,7.52,,38.37,,Nashik,Baglan/Kalwan,Winter,Groundnut
18.28,,674.30,113817.89,35.09,415.40,4.49,3.83,43.13,14.43,6.47,,16.26,245.40,,Igatpuri (Ghat Zone),Summer,"Maize, Finger Millet"
25.27,965.84,621.62,72479.71,49.93,401.06,4.68,0.48,47.71,22.44,7.25,0.00,54.78,326.08,Nashik,,Winter,Maize
27.93,964.64,10.46,65787.45,48.23,429.08,2.96,2.57,42.07,22.94,6.27,237.39,12.50,224.95,Raigad,Alibag/Mangaon,Winter,"Groundnut, Banana"
42.50,982.95,555.29,18117.39,65.34,415.64,,0.21,84.58,36.54,7.25,201.65,29.47,224.55,Nashik,Niphad/Yeola,Monsoon,Wheat
39.49,959.89,592.72,26465.51,70.31,392.66,,0.35,78.13,37.89,6.70,304.74,12.95,,Nashik,,Monsoon,"Sugarcane, Groundnut, Grapes, Tomato"
19.37,843.15,12.55,69652.92,50.09,416.07,0.43,2.82,39.77,14.88,5.55,272.97,7.01,200.04,Raigad,Alibag/Mangaon,Winter,"Arecanut, Rice"
,852.30,953.12,82089.64,70.12,436.20,2.65,2.22,51.52,20.69,6.31,288.68,18.29,209.23,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Finger Millet"
18.59,924.78,6.89,89710.68,46.05,475.95,,0.42,34.92,14.33,6.25,321.89,14.59,223.16,Raigad,Alibag/Mangaon,Winter,"Banana, Rice"
20.18,1006.99,7.82,76525.32,44.91,454.09,0.79,1.48,51.71,16.27,6.05,218.82,13.04,236.80,Raigad,Alibag/Mangaon,Winter,Rice
12.38,918.62,569.43,67921.90,48.27,443.40,1.33,3.77,46.73,11.63,7.86,192.36,,210.64,Nashik,Niphad/Yeola,,"Onion, Tomato"
12.11,938.46,563.00,82420.12,53.85,417.88,4.00,0.29,46.66,9.86,6.26,262.07,25.90,258.92,Nashik,Niphad/Yeola,Winter,"Sugarcane, Tomato, Onion"
19.67,906.47,775.49,71098.61,59.29,369.41,2.48,2.37,58.75,17.95,6.24,295.24,16.53,254.28,,Igatpuri (Ghat Zone),Winter,Vegetables
32.77,1116.55,11.89,29708.19,98.44,394.18,3.37,4.07,76.82,24.12,5.24,318.23,8.71,185.55,Raigad,Alibag/Mangaon,Monsoon,Mango
,1020.74,10.94,96070.84,45.91,,3.19,3.35,52.52,16.84,6.39,306.83,7.40,205.86,Raigad,Alibag/Mangaon,Winter,"Sugarcane, Rice, Mango"
35.59,1031.30,531.67,30628.64,95.65,382.48,0.91,1.94,97.09,36.40,6.88,195.44,42.55,260.52,Nashik,Baglan/Kalwan,Monsoon,Grapes
15.12,1125.87,60.58,63649.97,42.41,367.16,0.67,3.62,37.97,14.35,5.47,237.75,10.32,175.00,Raigad,Karjat,Winter,"Green Gram, Coconut"
,1026.23,60.26,76457.40,51.77,382.21,0.29,2.01,55.83,16.46,5.19,259.70,,217.71,Raigad,Karjat,Winter,"Coconut, Mango, Vari"
36.68,1004.31,62.95,112649.51,34.45,398.74,1.11,0.52,24.67,30.11,6.28,319.10,7.86,,Raigad,Karjat,Summer,"Ragi, Green Gram"
33.10,988.87,,45054.04,106.11,417.36,2.07,1.70,90.82,28.05,5.64,253.74,12.55,163.23,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Rice, Tomato, Finger Millet"
34.88,975.58,598.43,90106.78,42.85,395.50,4.73,1.80,,34.81,6.64,262.00,54.97,272.31,Nashik,Baglan/Kalwan,Summer,"Groundnut, Onion"
27.29,862.05,482.29,63552.65,40.63,412.37,4.14,1.92,49.21,22.41,7.21,190.86,49.50,245.25,Nashik,Baglan/Kalwan,Winter,"Onion, Groundnut"
13.34,1019.00,556.72,73447.12,48.70,418.89,3.29,1.82,44.38,9.46,,244.27,9.86,131.35,Nashik,Igatpuri (Ghat Zone),,"Vegetables, Rice"
35.12,1119.60,13.37,13815.27,95.85,420.04,2.69,3.97,86.97,36.12,4.96,193.90,9.22,207.80,Raigad,Alibag/Mangaon,Monsoon,Mango
,899.07,546.00,112078.17,22.15,453.58,1.05,0.65,60.26,27.49,8.29,205.71,57.03,294.71,Nashik,Baglan/Kalwan,Summer,Groundnut
15.71,903.58,470.20,73888.85,57.47,428.05,5.53,3.15,53.38,12.14,6.90,,50.10,264.73,,Baglan/Kalwan,Winter,Maize
12.03,905.22,595.58,77737.58,38.54,357.68,2.36,0.21,56.10,8.37,7.58,179.49,50.15,231.28,Nashik,Baglan/Kalwan,Winter,"Groundnut, Grapes, Bajra, Tomato"
12.33,978.00,629.36,63334.63,33.44,419.49,1.53,1.52,56.14,10.02,7.78,207.36,49.28,,Nashik,Baglan/Kalwan,Winter,Soybean
14.39,909.97,781.23,87516.06,42.44,406.71,1.35,0.12,53.87,11.14,6.35,275.60,18.95,177.50,Nashik,Igatpuri (Ghat Zone),Winter,Vegetables
27.42,1058.92,,109009.49,24.21,,5.02,3.55,16.64,24.60,4.99,325.33,9.33,264.59,Raigad,Alibag/Mangaon,Summer,"Coconut, Arecanut"
22.93,,56.90,89304.37,39.51,444.45,2.90,4.06,27.39,20.62,5.63,307.33,,188.48,Raigad,Karjat,Winter,"Cashew, Coconut"
41.93,969.49,54.91,27313.67,89.77,371.54,1.57,0.32,103.06,33.23,5.43,313.59,7.67,203.29,Raigad,Karjat,Monsoon,"Green Gram, Rice"
32.43,1017.34,812.17,26735.05,,428.48,1.41,0.47,92.15,26.82,6.58,270.03,20.71,224.33,Nashik,Igatpuri (Ghat Zone),Monsoon,Finger Millet
29.96,,49.01,39345.29,,,,,100.37,,,,,259.44,Raigad,,,Rice
16.91,971.29,11.50,69205.73,,411.11,3.43,,50.46,16.02,6.54,282.66,7.34,185.91,Raigad,Alibag/Mangaon,Winter,"Cashew, Coconut, Cotton, Rice"
21.50,908.58,63.26,86505.41,,349.24,2.46,1.49,51.83,22.36,5.75,266.04,8.72,256.66,Raigad,Karjat,Winter,"Ragi, Coconut, Cashew"
18.94,907.61,,70051.89,65.15,362.98,2.28,0.74,,16.22,5.75,214.46,8.85,209.10,Raigad,Karjat,Winter,"Rice, Mango"
21.13,1058.03,828.66,65246.37,54.94,448.20,2.32,0.17,39.55,17.57,6.41,281.09,16.10,152.02,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Finger Millet"
16.86,1136.65,10.21,94111.61,44.50,400.39,4.64,1.82,43.94,17.52,,240.73,12.38,,Raigad,Alibag/Mangaon,Winter,Banana
34.29,908.17,609.24,93212.95,34.85,421.09,2.98,2.48,67.30,33.03,7.68,241.10,36.25,243.20,,Niphad/Yeola,Summer,Pomegranate
19.20,926.20,573.26,94417.61,,380.85,4.23,3.21,,20.00,7.24,216.53,41.05,243.06,Nashik,Baglan/Kalwan,,"Soybean, Tomato"
46.56,1014.81,520.61,26463.88,,406.13,1.59,2.94,76.10,,7.21,176.50,57.11,226.68,Nashik,Baglan/Kalwan,Monsoon,"Groundnut, Onion"
36.98,921.41,62.31,39839.49,110.21,433.14,1.99,3.91,103.28,33.49,5.78,297.17,9.72,,Raigad,Karjat,Monsoon,Cashew
17.65,945.24,,76844.14,62.23,399.44,4.53,2.73,46.59,14.90,5.92,227.27,15.40,153.35,Nashik,,Winter,"Maize, Rice"
29.23,1007.54,13.81,56086.41,79.78,400.23,1.27,0.61,111.32,26.85,5.28,323.90,5.77,219.27,Raigad,Alibag/Mangaon,Monsoon,"Coconut, Banana, Arecanut"
26.06,,59.07,107749.69,21.01,449.22,2.64,2.91,18.51,32.75,6.10,227.28,7.26,281.42,Raigad,Karjat,,Vari
24.10,973.47,590.15,102919.00,31.50,,1.43,3.62,,23.05,7.98,221.56,27.36,303.50,Nashik,Niphad/Yeola,Summer,Sugarcane
11.98,869.16,773.99,88980.72,52.23,449.44,0.85,,47.47,8.61,,205.37,11.49,216.97,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Banana"
35.81,896.31,686.05,38796.72,86.28,423.73,3.96,1.02,,38.52,7.14,292.79,14.96,150.79,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Rice"
19.94,871.95,583.26,,19.99,364.80,1.93,3.54,57.38,17.35,7.23,284.94,24.14,231.46,Nashik,Niphad/Yeola,,"Soybean, Grapes"
39.93,1032.32,530.30,111357.57,28.24,,2.94,1.29,45.67,34.32,6.90,247.37,16.99,215.24,Nashik,Niphad/Yeola,Summer,"Onion, Tomato"
30.73,1077.33,582.49,83110.19,26.23,370.63,1.67,3.64,58.09,31.99,6.97,261.90,23.66,304.13,Nashik,Niphad/Yeola,Summer,"Tomato, Wheat"
29.14,954.42,668.86,38421.55,,417.19,1.51,3.81,89.10,26.71,6.33,252.78,,139.51,Nashik,Igatpuri (Ghat Zone),Monsoon,Maize
22.61,1006.71,52.40,74656.45,50.38,462.51,2.07,0.82,,18.53,5.88,310.16,5.69,210.43,Raigad,Karjat,Winter,"Coconut, Mango"
11.72,902.84,611.43,79612.00,54.59,394.07,0.29,1.06,55.00,9.55,6.09,245.92,21.11,302.73,Nashik,Niphad/Yeola,Winter,"Onion, Pomegranate, Grapes"
25.68,923.63,569.65,99565.06,19.42,450.98,4.89,0.63,43.11,22.24,7.42,196.02,23.34,227.08,Nashik,Niphad/Yeola,,"Sugarcane, Wheat"
11.92,1037.59,863.72,80596.03,,393.83,0.50,0.92,40.05,9.75,6.83,247.93,12.01,113.96,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Maize"
22.59,1084.17,57.39,88231.30,60.93,357.43,3.76,1.85,32.62,,6.03,289.39,6.86,255.98,Raigad,Karjat,Winter,"Soybean, Rice"
12.09,829.38,1012.42,89984.50,38.24,430.09,0.60,0.60,56.51,9.62,7.33,302.66,17.19,211.19,Nashik,Igatpuri (Ghat Zone),Winter,"Maize, Vegetables"
22.28,893.47,635.12,88827.43,29.27,405.44,,4.15,52.65,19.39,6.10,,17.04,225.05,Nashik,Igatpuri (Ghat Zone),Summer,"Vegetables, Banana, Rice"
41.39,890.32,627.63,27997.97,70.67,419.19,3.49,2.13,,33.91,,187.93,29.22,308.75,Nashik,Niphad/Yeola,Monsoon,"Sugarcane, Grapes"
20.34,1061.26,11.07,94762.57,44.42,457.13,1.68,1.84,39.78,14.32,6.41,285.47,6.40,254.09,Raigad,Alibag/Mangaon,,"Coconut, Rice"
20.35,892.93,614.80,,59.83,434.18,3.85,0.25,46.00,18.58,7.32,213.57,31.24,322.89,Nashik,,Winter,"Sugarcane, Tomato"
27.78,912.80,7.14,114021.78,30.20,421.88,1.81,2.09,28.54,26.82,6.18,281.35,3.36,197.59,Raigad,Alibag/Mangaon,Summer,Coconut
,956.73,5.65,48109.79,93.33,415.57,3.80,2.38,86.30,31.15,5.90,323.03,9.82,189.22,,Alibag/Mangaon,Monsoon,Rice
32.64,,12.54,41663.59,100.39,417.31,1.29,0.62,,37.57,5.99,291.05,6.41,293.51,Raigad,Alibag/Mangaon,Monsoon,"Coconut, Mango"
,752.69,,113139.39,32.64,406.73,,,63.03,,,,21.71,,,Niphad/Yeola,Summer,Wheat
35.11,1128.96,42.31,17677.99,89.54,430.12,,4.10,74.95,34.94,,293.20,8.98,210.82,Raigad,Karjat,Monsoon,Green Gram
36.51,949.00,66.82,31594.71,74.89,437.35,1.74,3.65,104.81,28.67,5.13,251.53,11.63,182.13,Raigad,Karjat,Monsoon,"Ragi, Green Gram"
40.34,907.54,603.38,30374.37,67.41,423.36,2.86,1.10,96.22,35.74,7.32,183.71,52.52,256.71,Nashik,Baglan/Kalwan,Monsoon,"Maize, Bajra"
17.22,1158.03,7.61,85809.45,45.89,424.34,3.70,1.69,49.05,17.64,5.86,310.97,13.01,250.48,Raigad,Alibag/Mangaon,Winter,Banana
33.17,,8.18,55598.40,104.31,386.08,1.24,0.65,92.34,34.02,6.26,226.78,16.75,256.14,,Alibag/Mangaon,Monsoon,"Banana, Arecanut"
34.43,1023.12,62.09,106204.41,26.97,,4.73,1.59,21.58,34.87,6.03,232.41,4.86,222.01,Raigad,Karjat,Summer,Vari
35.81,1062.57,863.97,53091.77,99.34,408.46,1.48,3.50,83.00,37.32,5.76,380.04,19.62,211.62,Nashik,Igatpuri (Ghat Zone),Monsoon,Maize
20.88,1037.42,55.60,96042.95,37.20,,0.32,4.12,23.68,23.95,6.78,232.37,9.52,256.65,Raigad,Karjat,Summer,"Soybean, Vari"
,,742.03,96009.15,36.87,404.92,2.56,4.03,,29.02,6.17,316.74,15.32,192.36,Nashik,Igatpuri (Ghat Zone),Summer,Rice
22.95,967.11,67.53,69662.06,53.74,427.49,4.48,2.90,45.53,20.77,5.51,275.34,8.55,190.36,Raigad,Karjat,Winter,Mango
43.40,936.78,563.60,26309.01,,413.50,4.24,,77.43,34.40,7.00,224.68,19.67,282.35,Nashik,Niphad/Yeola,Monsoon,Sugarcane
24.52,1032.49,621.13,48314.61,86.93,395.92,1.41,3.90,97.15,20.87,6.41,213.38,15.85,171.57,Nashik,Igatpuri (Ghat Zone),Monsoon,Rice
21.58,915.43,523.31,59518.67,41.68,411.18,2.22,3.21,49.07,19.50,7.25,176.88,,224.22,Nashik,Baglan/Kalwan,Winter,"Maize, Bajra"
15.55,1000.98,56.98,54996.52,44.38,424.40,3.21,3.71,55.07,12.00,4.79,256.73,4.99,257.79,Raigad,Karjat,Winter,Mango
26.34,823.56,60.36,18183.83,83.74,444.91,3.50,2.21,91.83,23.26,5.67,312.24,10.35,192.86,Raigad,Karjat,Monsoon,Green Gram
,961.39,896.77,81967.13,61.40,441.60,2.63,1.68,51.53,11.11,6.44,241.07,18.88,172.93,Nashik,Igatpuri (Ghat Zone),Winter,Finger Millet
48.31,876.21,581.00,23159.66,74.60,392.66,4.16,3.50,,35.21,6.56,247.18,15.93,281.95,Nashik,Niphad/Yeola,Monsoon,"Pomegranate, Grapes"
38.45,953.35,575.11,30798.26,,404.51,2.35,2.48,92.84,38.94,7.04,141.91,11.50,162.15,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Rice"
32.25,924.35,,64403.55,83.88,422.01,,1.21,98.65,27.62,6.74,212.63,32.37,277.54,Nashik,Niphad/Yeola,Monsoon,"Sugarcane, Pomegranate"
42.09,928.85,548.38,49516.46,87.94,398.62,1.58,0.82,88.00,39.66,7.64,192.63,22.82,,Nashik,,Monsoon,Wheat
25.63,,609.16,81462.88,60.38,379.06,4.46,0.91,52.60,24.30,,262.08,24.09,266.06,Nashik,Niphad/Yeola,Winter,Onion
34.18,1055.36,12.08,31826.74,94.86,364.65,2.88,1.75,80.50,30.59,5.95,275.38,11.11,235.26,Raigad,Alibag/Mangaon,Monsoon,"Banana, Mango"
21.19,999.50,5.03,84430.75,44.79,443.61,,0.86,43.64,,,298.15,12.81,226.11,Raigad,Alibag/Mangaon,Winter,Cashew
37.05,984.05,,47468.19,,415.94,1.41,4.05,83.58,37.75,7.39,213.37,27.08,255.40,Nashik,Niphad/Yeola,Monsoon,Tomato
37.33,1112.80,58.90,59272.04,93.75,393.87,4.69,2.36,83.90,35.17,4.53,234.21,6.81,237.68,Raigad,Karjat,Monsoon,Vari
32.38,1000.15,11.73,44990.88,87.41,349.27,1.29,3.71,84.37,30.83,6.33,300.95,5.60,197.65,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Banana"
33.88,902.04,641.17,,76.87,385.21,1.19,0.62,83.51,30.82,8.60,254.91,31.25,225.84,Nashik,Niphad/Yeola,Monsoon,Sugarcane
14.11,936.61,,65552.30,,423.86,1.64,1.88,55.12,10.37,7.27,240.73,32.40,247.15,Nashik,Baglan/Kalwan,Winter,"Maize, Mango"
27.51,835.96,582.38,,41.68,433.26,2.95,2.81,,23.54,7.56,199.57,42.01,270.26,Nashik,Baglan/Kalwan,Summer,Soybean
36.20,1039.84,57.95,90501.30,21.75,420.15,0.66,2.95,12.37,36.39,5.98,224.07,10.40,209.64,Raigad,Karjat,Summer,"Cashew, Coconut"
,,,,,,,,,,,,,,,,,"Vegetables, Rice"
38.98,893.02,547.67,97203.26,32.61,387.96,4.25,1.55,48.49,32.70,7.78,199.75,29.20,324.88,Nashik,Niphad/Yeola,Summer,"Onion, Wheat"
16.47,1080.44,51.47,70924.19,38.09,370.92,0.80,3.15,33.65,15.97,,240.18,5.78,232.37,Raigad,Karjat,,"Ragi, Mango"
15.59,940.72,607.05,,47.67,435.67,1.00,0.49,41.65,,6.04,292.58,10.49,221.77,Nashik,Igatpuri (Ghat Zone),Winter,"Vegetables, Finger Millet"
25.14,1061.37,808.31,115145.30,41.22,393.68,3.39,2.66,48.88,,6.00,311.42,21.98,131.60,Nashik,Igatpuri (Ghat Zone),Summer,"Vegetables, Finger Millet"
34.38,918.57,481.51,118910.39,24.21,421.18,0.69,2.32,54.96,33.15,8.13,252.96,47.85,328.10,Nashik,Baglan/Kalwan,Summer,Maize
19.45,1164.79,,60537.26,47.24,402.48,5.36,3.32,,18.56,5.37,311.58,11.37,190.43,Raigad,Karjat,Winter,"Green Gram, Cotton"
32.17,992.38,9.90,112031.48,27.61,429.23,2.82,1.95,21.84,25.61,5.56,,8.65,215.29,Raigad,Alibag/Mangaon,Summer,Banana
29.02,897.41,664.55,34269.41,91.14,396.54,4.61,0.77,81.36,25.72,6.51,237.93,18.85,145.74,Nashik,Igatpuri (Ghat Zone),Monsoon,"Maize, Rice"
22.02,1180.31,13.75,102667.52,35.84,442.12,2.56,3.61,17.01,19.18,4.77,304.12,11.24,271.38,Raigad,Alibag/Mangaon,Summer,Mango
36.21,1151.80,11.00,20628.67,99.08,413.25,1.38,3.08,97.38,27.48,6.58,273.79,10.47,219.09,Raigad,Alibag/Mangaon,Monsoon,"Cashew, Banana"
18.81,1024.17,636.62,62289.40,66.89,405.32,2.20,2.93,56.45,14.14,7.64,258.60,14.75,103.56,Nashik,Igatpuri (Ghat Zone),Winter,Maize
17.33,979.35,491.45,73925.05,38.19,,2.34,2.78,56.35,15.21,6.11,209.14,60.39,261.01,Nashik,Baglan/Kalwan,Winter,"Groundnut, Soybean"
,805.14,578.89,16409.17,98.27,343.68,,1.26,82.90,33.44,,274.44,22.83,175.64,Nashik,Igatpuri (Ghat Zone),Monsoon,"Vegetables, Rice"
38.52,839.04,511.80,29393.96,81.95,442.98,3.00,,87.22,31.54,8.01,224.95,70.45,291.77,Nashik,Baglan/Kalwan,Monsoon,Bajra
18.14,981.92,11.18,61512.50,59.46,442.50,1.46,1.37,29.24,17.40,5.45,274.51,8.77,236.59,Raigad,Alibag/Mangaon,Winter,"Cashew, Arecanut"
,811.40,642.33,91995.60,47.88,439.50,3.81,2.68,60.14,13.44,7.20,221.50,50.51,258.19,Nashik,Baglan/Kalwan,Winter,Maize
35.83,931.48,596.71,30042.07,71.71,446.38,2.75,3.31,76.33,33.39,8.02,195.53,25.68,268.44,Nashik,Niphad/Yeola,Monsoon,Grapes
36.52,1071.05,,107181.20,31.47,,2.57,2.02,43.71,31.15,7.97,189.62,23.89,311.67,Nashik,,Summer,"Sugarcane, Pomegranate"
22.69,946.30,519.98,80565.12,68.96,431.21,2.31,3.85,50.76,22.16,7.55,224.44,18.92,281.39,Nashik,Niphad/Yeola,Winter,"Onion, Grapes"
28.69,931.42,,92329.14,33.79,412.21,2.21,3.69,17.84,25.08,6.29,341.75,9.36,263.83,Raigad,Alibag/Mangaon,Summer,Mango
18.18,1017.91,6.37,70205.21,41.58,398.70,4.70,3.84,41.42,16.90,5.75,304.37,13.21,197.98,Raigad,Alibag/Mangaon,Winter,"Coconut, Rice"
38.41,1113.96,570.12,,84.49,430.88,3.71,3.18,75.43,40.12,6.55,210.30,44.44,268.82,Nashik,Baglan/Kalwan,Monsoon,"Bajra, Mango"
39.38,916.82,433.86,19007.97,74.62,408.63,3.70,0.31,95.97,37.62,6.74,,52.00,192.44,Nashik,Baglan/Kalwan,Monsoon,"Onion, Maize"
38.48,877.32,545.45,31691.20,76.74,379.47,3.08,0.15,74.12,33.96,7.27,232.85,38.53,276.20,Nashik,Baglan/Kalwan,,"Groundnut, Mango"
